date,key,new_hospitalized,total_hospitalized,new_intensive_care,total_intensive_care,new_ventilator,total_ventilator
2020-11-18 00:00:00,CH_BE,-8,399,-7,68,0,56
2020-06-27 00:00:00,CH_BL,0,0,0,0,0,0
2020-10-01 00:00:00,CH_ZH,-3,28,-1,10,0,9
2021-01-23 00:00:00,US_KS,0,8041,0,2181,0,412
2021-01-03 00:00:00,US_KS,0,6903,0,1862,0,412
2020-04-16 00:00:00,US_AL,28,553,8,227,3,137
2020-11-20 00:00:00,CH_TI,14,371,-2,34,-1,22
2020-10-02 00:00:00,CH_ZH,3,31,-2,8,-1,8
2020-09-29 00:00:00,CH_NE,-1,1,0,0,0,0
2020-06-18 00:00:00,US_KS,0,1011,0,333,0,146
2021-01-30 00:00:00,CH_NE,0,25,1,5,0,3
2020-07-06 00:00:00,CH_VS,1,10,-1,1,0,0
2020-04-11 00:00:00,CH_VS,-3,113,-4,20,-3,15
2020-12-29 00:00:00,US_AR,106,11168,0,,11,1199
2020-12-13 00:00:00,CH_VS,0,102,1,23,0,15
2021-01-31 00:00:00,CH_NE,-1,24,0,5,0,3
2020-10-21 00:00:00,CH_BE,39,121,1,13,2,7
2020-07-22 00:00:00,CH_GR,0,2,0,0,0,0
2020-06-03 00:00:00,US_UT,28,829,7,250,3,107
2021-01-27 00:00:00,CH_ZH,-3,236,-1,61,1,43
2020-06-12 00:00:00,US_AR,36,961,0,,7,157
2020-06-16 00:00:00,CH_GE,0,6,0,0,0,0
2020-06-10 00:00:00,CH_NE,0,2,0,0,0,0
2020-10-06 00:00:00,US_UT,39,4058,9,937,4,370
2020-07-16 00:00:00,US_KS,0,1393,0,418,0,159
2021-01-08 00:00:00,CH_ZH,-25,417,0,89,0,63
2021-01-06 00:00:00,CH_ZH,-11,480,-5,99,-2,67
2020-11-13 00:00:00,CH_NE,1,156,0,19,1,13
2020-09-23 00:00:00,CH_SG,0,8,-1,4,-1,3
2021-01-26 00:00:00,US_KS,0,8117,0,2210,0,412
2020-09-12 00:00:00,US_AR,0,4678,0,,0,597
2021-01-22 00:00:00,US_KS,111,8041,40,2181,-1,412
2020-06-25 00:00:00,US_KS,0,1082,0,348,0,150
2020-09-09 00:00:00,US_AL,202,15339,13,1551,6,854
2020-08-23 00:00:00,CH_ZH,2,25,-1,11,-1,6
2020-04-04 00:00:00,CH_BL,-9,73,1,19,-1,17
2020-04-16 00:00:00,CH_BL,1,46,-1,8,-1,6
2020-11-25 00:00:00,CH_ZH,-6,389,-5,68,4,50
2021-01-17 00:00:00,US_UT,66,12518,1,1980,1,679
2020-06-07 00:00:00,US_UT,10,900,3,269,1,111
2020-12-26 00:00:00,US_UT,116,10522,1,1777,2,625
2020-05-01 00:00:00,CH_AG,1,34,0,9,0,8
2020-08-19 00:00:00,CH_GR,1,2,0,0,0,0
2020-07-07 00:00:00,CH_BL,0,1,0,0,0,0
2020-12-13 00:00:00,CH_BL,-5,61,-1,7,1,5
2020-10-12 00:00:00,CH_LU,5,12,0,2,0,2
2020-10-10 00:00:00,CH_GR,1,2,0,0,0,0
2020-04-30 00:00:00,CH_BL,-3,9,0,1,0,1
2020-10-18 00:00:00,CH_TI,7,26,0,1,0,1
2020-09-30 00:00:00,CH_GR,-1,2,0,0,0,0
2020-08-13 00:00:00,CH_VS,0,10,0,1,0,1
2021-02-07 00:00:00,US_AR,17,14066,0,,0,1458
2020-06-08 00:00:00,CH_VS,0,15,0,3,0,2
2020-04-20 00:00:00,CH_AG,-13,45,-4,16,-4,16
2020-07-30 00:00:00,US_AR,0,2747,0,,0,387
2020-10-27 00:00:00,US_UT,67,5169,16,1083,4,423
2020-08-10 00:00:00,US_AL,533,12070,7,1249,6,680
2021-01-05 00:00:00,CH_VS,-5,79,-2,8,0,6
2020-10-28 00:00:00,CH_VS,2,185,1,13,1,5
2020-04-26 00:00:00,CH_NE,-3,32,-1,3,0,3
